No,Root Domain,Category
1,microsoft.com,
2,apple.com,
3,www.google.com,
4,www.blogger.com,
5,docs.google.com,
6,support.google.com,
7,play.google.com,
8,youtube.com,
9,accounts.google.com,
10,wordpress.org,
11,adobe.com,
12,plus.google.com,
13,mozilla.org,
14,sites.google.com,
15,en.wikipedia.org,
16,maps.google.com,
17,linkedin.com,
18,drive.google.com,
19,youtu.be,
20,vimeo.com,
21,creativecommons.org,
22,github.com,
23,googleusercontent.com,
24,bbc.co.uk,
25,bp.blogspot.com,
26,amazon.com,
27,istockphoto.com,
28,europa.eu,
29,cloudflare.com,
30,uol.com.br,
31,dailymotion.com,
32,live.com,
33,line.me,
34,vk.com,
35,msn.com,
36,fr.wikipedia.org,
37,opera.com,
38,nytimes.com,
39,pt.wikipedia.org,
40,google.com.br,
41,photos.google.com,
42,gstatic.com,
43,slideshare.net,
44,hugedomains.com,
45,amazon.co.jp,
46,facebook.com,
47,google.es,
48,wikimedia.org,
49,cnn.com,
50,google.co.jp,
51,mediafire.com,
52,feedburner.com,
53,bbc.com,
54,t.me,
55,forbes.com,
56,networkadvertising.org,
57,dropbox.com,
58,theguardian.com,
59,washingtonpost.com,
60,mail.google.com,
61,google.de,
62,w3.org,
63,myspace.com,
64,reuters.com,
65,medium.com,
66,developers.google.com,
67,whatsapp.com,
68,es.wikipedia.org,
69,globo.com,
70,www.yahoo.com,
71,nih.gov,
72,news.google.com,
73,google.co.uk,
74,mail.ru,
75,paypal.com,
76,imdb.com,
77,de.wikipedia.org,
78,telegraph.co.uk,
79,pinterest.com,
80,hatena.ne.jp,
81,elpais.com,
82,wired.com,
83,steampowered.com,
84,bit.ly,
85,thesun.co.uk,
86,nasa.gov,
87,apache.org,
88,aboutads.info,
89,news.yahoo.com,
90,wikia.com,
91,groups.google.com,
92,get.google.com,
93,fb.com,
94,un.org,
95,playstation.com,
96,ted.com,
97,nypost.com,
98,www.gov.uk,
99,code.google.com,
100,policies.google.com,
101,independent.co.uk,
102,fandom.com,
103,google.it,
104,engadget.com,
105,twitter.com,
106,books.google.com,
107,telegram.me,
108,abril.com.br,
109,dailymail.co.uk,
110,draft.blogger.com,
111,rakuten.co.jp,
112,ipv4.google.com,
113,tools.google.com,
114,buydomains.com,
115,change.org,
116,ft.com,
117,terra.com.br,
118,booking.com,
119,aol.com,
120,picasaweb.google.com,
121,ebay.com,
122,techcrunch.com,
123,hp.com,
124,abcnews.go.com,
125,gnu.org,
126,www.wix.com,
127,marketingplatform.google.com,
128,plesk.com,
129,google.fr,
130,myaccount.google.com,
131,youronlinechoices.com,
132,files.wordpress.com,
133,cpanel.net,
134,oracle.com,
135,samsung.com,
136,archive.org,
137,scribd.com,
138,usatoday.com,
139,lefigaro.fr,
140,issuu.com,
141,bing.com,
142,rt.com,
143,amazon.co.uk,
144,foxnews.com,
145,google.ru,
146,tinyurl.com,
147,android.com,
148,huffingtonpost.com,
149,goo.gl,
150,aliexpress.com,
151,harvard.edu,
152,soundcloud.com,
153,translate.google.com,
154,cnet.com,
155,wsj.com,
156,amazon.de,
157,ok.ru,
158,bloomberg.com,
159,iubenda.com,
160,indiatimes.com,
161,wa.me,
162,cbc.ca,
163,spotify.com,
164,zdnet.com,
165,huffpost.com,
166,xbox.com,
167,dell.com,
168,surveymonkey.com,
169,sedo.com,
170,a8.net,
171,academia.edu,
172,www.wikipedia.org,
173,sciencedaily.com,
174,twitch.tv,
175,thestar.com,
176,rambler.ru,
177,stanford.edu,
178,wikihow.com,
179,eventbrite.com,
180,disney.com,
181,channel4.com,
182,welt.de,
183,4shared.com,
184,pl.wikipedia.org,
185,businessinsider.com,
186,theatlantic.com,
187,worldbank.org,
188,ig.com.br,
189,blackberry.com,
190,alibaba.com,
191,fb.me,
192,mega.nz,
193,usnews.com,
194,goodreads.com,
195,picasa.google.com,
196,themeforest.net,
197,xinhuanet.com,
198,mashable.com,
199,netflix.com,
200,lemonde.fr,
201,photobucket.com,
202,lycos.com,
203,php.net,
204,loc.gov,
205,disqus.com,
206,search.google.com,
207,dan.com,
208,qq.com,
209,repubblica.it,
210,imageshack.us,
211,target.com,
212,adssettings.google.com,
213,namecheap.com,
214,ikea.com,
215,ea.com,
216,biglobe.ne.jp,
217,hollywoodreporter.com,
218,nationalgeographic.com,
219,mirror.co.uk,
220,cambridge.org,
221,abc.net.au,
222,ign.com,
223,walmart.com,
224,gravatar.com,
225,bandcamp.com,
226,m.wikipedia.org,
227,allaboutcookies.org,
228,depositfiles.com,
